epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
0,0.20401275157928467,0.3762456178665161,49314.5703125,0.20401275157928467,-1.875056505203247,NA,NA,NA,NA,NA
1,0.12934249639511108,0.2979933023452759,142258.015625,0.12934249639511108,-0.8227634429931641,NA,NA,NA,NA,NA
2,0.0795239731669426,0.23613151907920837,237009.375,0.0795239731669426,-0.12069416046142578,NA,NA,NA,NA,NA
3,0.054611578583717346,0.18993040919303894,326048.46875,0.054611578583717346,0.23038452863693237,NA,NA,NA,NA,NA
4,0.04678964242339134,0.17494456470012665,369995.125,0.04678964242339134,0.340615451335907,NA,NA,NA,NA,NA
5,0.04152326658368111,0.1652817577123642,358682.78125,0.04152326658368111,0.4148319959640503,NA,NA,NA,NA,NA
6,0.03589964285492897,0.15366695821285248,337300.5,0.03589964285492897,0.49408310651779175,NA,NA,NA,NA,NA
7,0.030063742771744728,0.14051949977874756,312372.28125,0.030063742771744728,0.5763257145881653,NA,NA,NA,NA,NA
8,0.02416793629527092,0.1258024424314499,284009.1875,0.02416793629527092,0.6594125628471375,NA,NA,NA,NA,NA
9,0.01842149905860424,0.10959478467702866,252033.421875,0.01842149905860424,0.7403944134712219,NA,NA,NA,NA,NA
10,0.013111867941915989,0.09205396473407745,216500.421875,0.013111867941915989,0.8152205944061279,NA,NA,NA,NA,NA
11,0.008593263104557991,0.07392090559005737,178021.1875,0.008593263104557991,0.8788991570472717,NA,NA,NA,NA,NA
12,0.005222562234848738,0.057649482041597366,138250.125,0.005222562234848738,0.926400899887085,NA,NA,NA,NA,NA
13,0.003205210668966174,0.04664882272481918,100648.125,0.003205210668966174,0.9548304677009583,NA,NA,NA,NA,NA
14,0.0023646787740290165,0.04043632745742798,71056.5859375,0.0023646787740290165,0.9666756987571716,NA,NA,NA,NA,NA
15,0.00214386242441833,0.0377153642475605,53844.09375,0.00214386242441833,0.9697875380516052,NA,NA,NA,NA,NA
16,0.0020935446955263615,0.03654075041413307,46032.2734375,0.0020935446955263615,0.970496654510498,NA,NA,NA,NA,NA
17,0.0020697435829788446,0.03596434369683266,42621.71875,0.0020697435829788446,0.9708320498466492,NA,NA,NA,NA,NA
18,0.0020484488923102617,0.03561517223715782,40961.41796875,0.0020484488923102617,0.9711321592330933,NA,NA,NA,NA,NA
19,0.0020270950626581907,0.03535151109099388,39979.23828125,0.0020270950626581907,0.9714331030845642,NA,NA,NA,NA,NA
20,0.0020057191140949726,0.03512093424797058,39259.74609375,0.0020057191140949726,0.971734344959259,NA,NA,NA,NA,NA
21,0.0019844844937324524,0.03490367904305458,38642.82421875,0.0019844844937324524,0.9720335602760315,NA,NA,NA,NA,NA
22,0.001963474089279771,0.034692443907260895,38066.97265625,0.001963474089279771,0.9723296761512756,NA,NA,NA,NA,NA
23,0.0019427213119342923,0.03448416665196419,37508.57421875,0.0019427213119342923,0.9726221561431885,NA,NA,NA,NA,NA
24,0.0019222373375669122,0.03427789360284805,36958.66015625,0.0019222373375669122,0.9729108214378357,NA,NA,NA,NA,NA
25,0.0019020278705284,0.03407343477010727,36413.765625,0.0019020278705284,0.9731956124305725,NA,NA,NA,NA,NA
26,0.0018820913974195719,0.03387051075696945,35872.6484375,0.0018820913974195719,0.9734765887260437,NA,NA,NA,NA,NA
27,0.001862427918240428,0.033668745309114456,35334.83203125,0.001862427918240428,0.9737536907196045,NA,NA,NA,NA,NA
28,0.0018430358031764627,0.033468097448349,34800.1171875,0.0018430358031764627,0.9740269780158997,NA,NA,NA,NA,NA
29,0.0018239126075059175,0.03326898068189621,34268.5,0.0018239126075059175,0.9742964506149292,NA,NA,NA,NA,NA
30,0.001805056817829609,0.033071789890527725,33739.9921875,0.001805056817829609,0.9745621681213379,NA,NA,NA,NA,NA
31,0.0017864666879177094,0.032877519726753235,33214.5625,0.0017864666879177094,0.9748241305351257,NA,NA,NA,NA,NA
32,0.0017681400058791041,0.032685112208127975,32692.259765625,0.0017681400058791041,0.9750823974609375,NA,NA,NA,NA,NA
33,0.0017500750254839659,0.03249387443065643,32173.095703125,0.0017500750254839659,0.975337028503418,NA,NA,NA,NA,NA
34,0.0017322695348411798,0.03230372071266174,31657.09765625,0.0017322695348411798,0.9755879640579224,NA,NA,NA,NA,NA
35,0.0017147217877209187,0.032114773988723755,31144.294921875,0.0017147217877209187,0.9758352041244507,NA,NA,NA,NA,NA
36,0.0016974295722320676,0.031927429139614105,30634.71875,0.0016974295722320676,0.9760789275169373,NA,NA,NA,NA,NA
37,0.0016803895123302937,0.03174138814210892,30128.384765625,0.0016803895123302937,0.9763190746307373,NA,NA,NA,NA,NA
38,0.0016636011423543096,0.03155682981014252,29625.3359375,0.0016636011423543096,0.9765556454658508,NA,NA,NA,NA,NA
39,0.0016470615519210696,0.03137413039803505,29125.48828125,0.0016470615519210696,0.9767887592315674,NA,NA,NA,NA,NA
40,0.0016307681798934937,0.03119290992617607,28628.947265625,0.0016307681798934937,0.9770183563232422,NA,NA,NA,NA,NA
41,0.0016147192800417542,0.031012963503599167,28135.740234375,0.0016147192800417542,0.97724449634552,NA,NA,NA,NA,NA
42,0.0015989120583981276,0.030834557488560677,27645.888671875,0.0015989120583981276,0.9774672985076904,NA,NA,NA,NA,NA
43,0.001583344885148108,0.030657634139060974,27159.375,0.001583344885148108,0.9776866436004639,NA,NA,NA,NA,NA
44,0.0015680151991546154,0.030482102185487747,26676.244140625,0.0015680151991546154,0.9779027104377747,NA,NA,NA,NA,NA
