epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.24291308224201202,0.4072321951389313,63830.15859375,0.24291308224201202,-2.0084463119506837,0.12179305404424667,0.3456855833530426,82.28960418701172,0.12179305404424667,-49.705430603027345
2,0.1761009454727173,0.34146872758865354,153008.003125,0.1761009454727173,-1.1809869289398194,0.06087653934955597,0.24248514473438262,57.39314651489258,0.06087653934955597,-24.344393920898437
3,0.09865789115428925,0.26009942293167115,277343.8875,0.09865789115428925,-0.22186496257781982,0.007287380564957857,0.07524413019418716,17.1101432800293,0.007287380564957857,-2.0339149951934816
4,0.041618704050779345,0.17208425998687743,382238.63125,0.041618704050779345,0.48455785512924193,0.006414731312543154,0.07393308132886886,18.73672218322754,0.006414731312543154,-1.670609712600708
