epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.24643609523773194,0.412644636631012,31160.783984375,0.24643609523773194,-2.052078437805176,0.14459838569164277,0.37723692655563357,89.93202514648438,0.14459838569164277,-59.199849700927736
2,0.2210899144411087,0.3859007656574249,63300.22109375,0.2210899144411087,-1.7381694316864014,0.12291846126317978,0.3473078191280365,82.69657135009766,0.12291846126317978,-50.17396545410156
3,0.1994673043489456,0.3637432396411896,93015.103125,0.1994673043489456,-1.47037615776062,0.1045148029923439,0.31970123648643495,76.02273864746094,0.1045148029923439,-42.512071990966795
4,0.18093611896038056,0.34607691764831544,120521.421875,0.18093611896038056,-1.240869903564453,0.0888334259390831,0.2941294014453888,69.84009094238282,0.0888334259390831,-35.98353042602539
5,0.16505638659000396,0.3311379373073578,145981.4625,0.16505638659000396,-1.0442014932632446,0.07547549456357956,0.27044324576854706,64.1133918762207,0.07547549456357956,-30.42229652404785
6,0.15142405033111572,0.31818150281906127,169540.653125,0.15142405033111572,-0.8753668785095214,0.06409853771328926,0.24849559366703033,58.80699691772461,0.06409853771328926,-25.685791778564454
7,0.13970696330070495,0.30703612565994265,191337.8625,0.13970696330070495,-0.7302522420883178,0.05441461354494095,0.2281613051891327,53.89087753295898,0.05441461354494095,-21.65413589477539
8,0.12966955304145814,0.29728583693504335,211498.584375,0.12966955304145814,-0.605940294265747,0.04617764130234718,0.20932555496692656,49.33740768432617,0.04617764130234718,-18.22488193511963
