epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.2083974152803421,0.37328808307647704,127394.771875,0.20839742124080657,-1.5809722900390626,0.0788528010249138,0.27682399153709414,65.67002410888672,0.0788528010249138,-31.828144454956053
2,0.12591741532087325,0.29251977801322937,249226.2,0.12591741532087325,-0.5594691753387451,0.025207893550395967,0.15209626853466035,35.56106414794922,0.025207893550395967,-9.494597244262696
3,0.07623267620801925,0.2348724991083145,363150.925,0.07623267620801925,0.05586918592453003,0.0030676322989165784,0.04499039277434349,10.136104965209961,0.0030676322989165784,-0.2771223783493042
4,0.05686684548854828,0.20126096904277802,411105.59375,0.05686684548854828,0.29571224451065065,0.001925376197323203,0.03588453829288483,9.184937858581543,0.001925376197323203,0.19842379093170165
