epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.11007022261619567,0.2744540750980377,468000.76875,0.11007022261619567,-0.3632057189941406,0.004790089232847095,0.05666495189070701,13.238646125793457,0.004790089232847095,-0.9942188739776612
2,0.08229029327630996,0.24242823719978332,512257.38125,0.08229029327630996,-0.019154834747314452,0.003082969272509217,0.04589070379734039,11.68480396270752,0.003082969272509217,-0.28350751399993895
3,0.0808536320924759,0.2402120351791382,492118.43125,0.08085362762212753,-0.0013619184494018555,0.002585479710251093,0.04273979887366295,10.694534301757812,0.002585479710251093,-0.07639172077178955
4,0.08085507154464722,0.24048277139663696,494093.21875,0.08085507154464722,-0.0013797998428344727,0.0025715507101267574,0.04265857189893722,10.656621360778809,0.0025715507101267574,-0.07059278488159179
5,0.08084714114665985,0.2403845250606537,494877.54375,0.08084714263677598,-0.001281571388244629,0.0025823645759373904,0.04271879121661186,10.689248847961426,0.0025823645759373904,-0.0750948429107666
6,0.08084236532449722,0.24037963449954985,494478.29375,0.0808423638343811,-0.0012224197387695312,0.0025785170495510102,0.04269292205572128,10.678386306762695,0.0025785170495510102,-0.07349305152893067
7,0.08084555715322495,0.2403944492340088,494230.00625,0.08084556013345719,-0.0012619972229003906,0.0025710287503898145,0.04264725670218468,10.66046142578125,0.0025710287503898145,-0.07037549018859864
8,0.08084766566753387,0.2403964191675186,494085.51875,0.08084766715764999,-0.0012881040573120117,0.0025671479757875203,0.04262338280677795,10.651008605957031,0.0025671479757875203,-0.06875982284545898
