epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.282239294052124,0.282239294052124,470255.66875,0.12189339250326156,-0.509632921218872,0.08770408928394317,0.08770408779382706,22.506244277954103,0.00992390587925911,-3.131538963317871
2,0.22863395512104034,0.22863395512104034,452118.81875,0.07343717813491821,0.09049065113067627,0.1568160742521286,0.15681607723236085,39.05589218139649,0.026595238596200943,-10.072179222106934
3,0.1495208501815796,0.1495208501815796,174223.4484375,0.033403223380446434,0.5863056898117065,0.09739390090107918,0.09739390090107918,23.493843460083006,0.010962257673963905,-3.563827431201935
4,0.07741997689008713,0.07741997689008713,69780.996875,0.008767488226294518,0.8914158821105957,0.059147154539823533,0.05914715379476547,14.201761627197266,0.004136182460933923,-0.7219832062721252
