epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.4147373378276825,0.4147373378276825,46466.8140625,0.2510209411382675,-2.1088624477386473,0.37417166233062743,0.37417166233062743,89.15396118164062,0.14240608513355255,-58.286766815185544
2,0.3838831663131714,0.3838831663131714,86092.234375,0.22073251605033875,-1.7337441921234131,0.3374427080154419,0.3374427080154419,80.27215881347657,0.1162854015827179,-47.41215515136719
3,0.3578358829021454,0.3578358769416809,129424.0484375,0.19336677789688111,-1.3948230266571044,0.29812875390052795,0.29812875390052795,70.76602630615234,0.09134583026170731,-37.029265594482425
4,0.3329799950122833,0.3329800069332123,176050.49375,0.16624726355075836,-1.0589512586593628,0.25407008826732635,0.25407008826732635,60.113468170166016,0.06709126159548759,-26.931559371948243
5,0.30881107449531553,0.30881107449531553,226330.58125,0.14044947624206544,-0.7394489049911499,0.20588440001010894,0.20588440001010894,48.46420593261719,0.04503720849752426,-17.74997501373291
6,0.28602741956710814,0.28602741956710814,283205.74375,0.11701288223266601,-0.4491896629333496,0.15475604683160782,0.15475604683160782,36.105041885375975,0.026754694432020186,-10.138564205169677
7,0.26443087458610537,0.26443087458610537,340153.1875,0.0973396971821785,-0.20553977489471437,0.09854860752820968,0.09854860752820968,22.553702926635744,0.012649456970393658,-4.2662454605102536
8,0.24352627992630005,0.24352627098560334,399181.1,0.08247179985046386,-0.021402788162231446,0.05534165948629379,0.05534165948629379,12.5837833404541,0.004686057707294822,-0.9509082436561584
