epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.12028195708990097,0.284251457452774,519542.7375,0.12028195708990097,-0.4896767854690552,0.005522769223898649,0.06084655970335007,15.181984901428223,0.005522769270464778,-1.2992495059967042
2,0.08154318034648896,0.2414909780025482,493594.575,0.08154318034648896,-0.009901952743530274,0.003009671112522483,0.045516350865364076,11.363911056518555,0.003009671112522483,-0.2529918909072876
3,0.08094736188650131,0.24070920646190644,497961.05,0.08094736188650131,-0.002522778511047363,0.0026573088951408865,0.043217217177152635,10.852542304992676,0.0026573089882731436,-0.10629582405090332
4,0.08080137073993683,0.24025572538375856,494795.14375,0.0808013692498207,-0.0007146716117858887,0.0026068056933581827,0.04287659004330635,10.74723949432373,0.0026068056933581827,-0.08527023792266845
5,0.08079324066638946,0.24030524492263794,495528.175,0.08079324066638946,-0.0006140351295471191,0.002624099375680089,0.042991051077842714,10.78412742614746,0.002624099375680089,-0.09246993064880371
6,0.08077730685472488,0.24028634428977966,495280.64375,0.08077730685472488,-0.00041669607162475586,0.0026167201809585094,0.0429439015686512,10.76747989654541,0.0026167201809585094,-0.08939783573150635
7,0.08075404018163682,0.24024985134601592,495108.225,0.08075403720140457,-0.00012849569320678712,0.0026134868152439595,0.042921248078346255,10.7599271774292,0.0026134868152439595,-0.08805172443389893
8,0.08071725070476532,0.24019767045974733,494921.5875,0.08071725070476532,0.0003270983695983887,0.002611344587057829,0.042906122654676436,10.754873657226563,0.002611344587057829,-0.08715989589691162
