epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.2089999794960022,0.20899997651576996,170500.09296875,0.07463596612215043,0.07564384937286377,0.1122681437060237,0.1122681437060237,26.909677743911743,0.019156252226093785,-6.97516655921936
2,0.08953665941953659,0.08953665941953659,59689.18046875,0.012858143635094165,0.8407536625862122,0.07385398335754871,0.07385398335754871,17.79170184135437,0.006794377166079358,-1.828647756576538
3,0.07359898835420609,0.07359898835420609,60778.634375,0.008340154960751533,0.8967083334922791,0.05826493315398693,0.05826493315398693,13.990515995025635,0.004514900827780366,-0.8796519279479981
4,0.07021240144968033,0.07021240144968033,66626.524609375,0.007561946008354426,0.9063463330268859,0.06358501259237528,0.06358501259237528,15.281239128112793,0.005280401412164792,-1.1983465313911439
