epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.4367280602455139,0.4367280602455139,1197.123974609375,0.2713411569595337,-2.3605242729187013,0.4175852119922638,0.4175852119922638,99.65418243408203,0.17677535712718964,-72.59590759277344
2,0.43559775948524476,0.43559775948524476,2486.97548828125,0.2703359603881836,-2.3480750560760497,0.41644623279571535,0.41644623279571535,99.37863616943359,0.1758253127336502,-72.20038299560547
3,0.434453284740448,0.434453284740448,3802.751171875,0.26932562589645387,-2.3355621814727785,0.41527555584907533,0.41527555584907533,99.09542846679688,0.17485156357288362,-71.79498596191407
4,0.43328691124916074,0.43328691124916074,5156.9263671875,0.2682940363883972,-2.3227861404418944,0.4140764355659485,0.4140764355659485,98.80533905029297,0.17385698854923248,-71.38091888427735
5,0.43210065364837646,0.43210065364837646,6524.51787109375,0.26724823117256163,-2.3098340034484863,0.4128442645072937,0.4128442645072937,98.50724639892579,0.1728379875421524,-70.9566879272461
6,0.4308833122253418,0.4308833062648773,7955.094921875,0.2661718189716339,-2.2965027332305907,0.4115825355052948,0.4115825355052948,98.20201721191407,0.17179771959781648,-70.52359924316406
7,0.4296290218830109,0.4296290218830109,9378.2859375,0.2650652289390564,-2.282797908782959,0.4102939009666443,0.4102939009666443,97.89027557373046,0.1707385540008545,-70.0826400756836
8,0.42835444808006284,0.42835444808006284,10898.9025390625,0.2639265418052673,-2.26869535446167,0.4089811980724335,0.4089811980724335,97.57270812988281,0.16966301202774048,-69.6348663330078
