epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,22427.22578125,0.40085102915763854,22427.226171875,0.23378126919269562,-1.8953488349914551,86.44233169555665,0.36240602731704713,86.44233169555665,0.1360362857580185,-55.634877395629886
2,35031.229296875,0.4116994857788086,35031.228515625,0.23936513662338257,-1.9645042419433594,94.90969543457031,0.3975313127040863,94.90969543457031,0.16166718453168868,-66.30558547973632
3,4936.9232421875,0.40720334649086,4936.92314453125,0.2375775933265686,-1.942365837097168,91.8680633544922,0.38503293991088866,91.8680633544922,0.15219637453556062,-62.36267623901367
4,30404.76328125,0.4129867672920227,30404.763671875,0.24416634142398835,-2.023966598510742,93.78885650634766,0.3930074036121368,93.78885650634766,0.15926097929477692,-65.30382766723633
