epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.17804142832756042,0.34300035834312437,127493.38125,0.17804142832756042,-1.2050195217132569,0.035705281794071196,0.1835491180419922,43.38513412475586,0.035705281794071196,-13.864983558654785
2,0.03850080817937851,0.1578616052865982,277341.7375,0.03850080817937851,0.5231726050376893,0.005764715140685439,0.0715468131005764,17.883176231384276,0.005764715047553182,-1.3999920129776
3,0.015867709927260876,0.10523872524499893,231193.375,0.015867709927260876,0.8034805059432983,0.0017328246030956507,0.03665605299174786,9.341602897644043,0.0017328246030956507,0.2785826802253723
4,0.01041819155216217,0.08602175414562226,189415.496875,0.01041819155216217,0.8709720730781555,0.0015156839741393923,0.03500887379050255,8.850276756286622,0.0015156839741393923,0.36898365020751955
