epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
1,0.2655357211828232,0.4272755205631256,36290.435546875,0.2655357211828232,-2.288624811172485,0.15157099366188048,0.3859338104724884,91.97489013671876,0.15157099366188048,-62.102716064453126
2,0.23331657648086548,0.39485486745834353,72894.82890625,0.23331657648086548,-1.8895949363708495,0.12496901452541351,0.34988477230072024,83.26805725097657,0.12496901452541351,-51.0276596069336
3,0.2065848797559738,0.3690257966518402,106391.33125,0.2065848797559738,-1.558526372909546,0.10297078490257264,0.3169734954833984,75.31770935058594,0.10297078490257264,-41.869258880615234
4,0.18422586619853973,0.34868897795677184,137038.9390625,0.18422586023807525,-1.2816129207611084,0.08480845838785171,0.286968982219696,68.07076721191406,0.08480845838785171,-34.30783653259277
5,0.16556396484375,0.33153406977653505,165067.30625,0.16556396484375,-1.050487756729126,0.069842117279768,0.2596523404121399,61.47379913330078,0.069842117279768,-28.0769832611084
6,0.14998433589935303,0.3171293020248413,190684.440625,0.14998433589935303,-0.8575361490249633,0.05750677883625031,0.23476561903953552,55.46407852172852,0.05750677883625031,-22.941481018066405
7,0.13692101687192917,0.3048133194446564,214093.0,0.13692101687192917,-0.6957486391067504,0.04733526259660721,0.21206627190113067,49.98278121948242,0.04733526259660721,-18.706829071044922
8,0.12598934322595595,0.29428747296333313,235460.809375,0.12598934322595595,-0.5603613376617431,0.038948575779795644,0.1913468360900879,44.97990493774414,0.038948575779795644,-15.215245819091797
